,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1060560,1002263,1035801,1069129,1184674,1173994,1087899,1099240,1086485,420783,1096548,1092996,1047034,1063911,210391,1033881,1044202,865228,1115742,1157519,1015842,1078880,1029630,1087745,1083749,1219202,1192520,1077185,1068223,1041026,982395
1,294785,311911,329297,502956,351898,237466,449652,367533,291434,420783,427980,386045,235411,469263,210391,291437,301184,356576,335465,274606,484348,331610,437788,367360,574671,469807,317701,415394,384852,276770,417006
2,447891,468615,475355,497766,456349,454156,521094,545716,528924,420783,526763,463918,462012,509869,210391,578495,558445,499260,464070,473403,525450,539131,530870,522964,467731,455787,483880,503408,547681,540376,529347
3,5404,5404,5404,5404,5404,5404,5404,5404,5404,420783,5404,5404,5404,5404,210391,5404,5404,5404,5404,5404,5404,5404,5404,5404,5404,5404,5404,5404,5404,5404,5404
4,42322,28395,33830,74262,30557,5765,62359,41630,40783,420783,50451,28297,18794,71859,210391,49515,49192,59945,37904,15665,74622,42757,42331,43700,42073,22917,9660,65198,57972,43155,49168
5,14067,24180,7717,14204,8378,1530,15578,7388,8773,420783,24530,15116,15982,17693,210391,11227,12551,20501,11998,9247,14572,4133,12416,8006,9364,8709,12823,34843,19756,7404,11689
6,1961097,2011679,1986295,1862337,1705267,1804549,1786788,1847539,1933590,420783,1865450,1729782,1874896,1900137,210391,1934953,1986699,1879139,2286860,2356079,2340514,2410698,2301514,1944496,2101370,2141668,2250020,2041626,1993922,1699994,1386836
7,36636,37631,19265,29788,25954,23943,26931,21843,32645,420783,25249,22984,21986,23316,210391,28706,17068,25885,18925,23191,29156,22527,20182,19625,20729,20286,16169,18039,17690,15998,26163
8,60,25,816,0,0,0,0,24,212,0,9,0,0,0,210391,0,0,0,0,0,4,734,9,106,642,0,0,25,15,17,92
9,995787,895829,897456,822008,797476,752835,727714,700958,725685,420783,883780,877891,863338,828116,210391,809587,805027,832238,799543,790522,740835,823183,764533,768972,752078,831158,836283,727834,696577,713324,592628
10,703277,809977,771043,842390,778069,722016,809506,756861,820094,420783,818315,747962,767768,810286,210391,866360,781637,853884,763409,750665,816127,729196,807586,735885,759057,817168,766600,640978,602883,597753,392579
11,1197,3727,2787,5232,37,3,1891,1226,4627,420783,3872,155,51,2124,210391,1573,2961,3838,455,23,1109,4422,2520,1937,1708,30,400,1586,1443,2337,1886
12,296068,262445,315416,282286,317346,261043,302361,253570,268891,420783,314865,241521,184451,324126,210391,276969,275264,295620,225975,215136,268321,221276,226966,243773,257796,260950,263539,236531,226502,208907,174968
13,3473,2840,3645,2027,1988,984,3575,884,3691,420783,436,24,4439,1710,210391,0,14,7,12,80,13,1,0,2,0,157,0,0,10,12,0
14,193852,206139,253188,212079,236939,201797,227368,195506,194080,420783,255008,230384,217282,241005,210391,200343,184864,219054,195177,179134,188928,208475,231290,175359,217250,207416,183084,196771,202282,210995,218840
15,17091,2229,585,0,3070,5411,19372,10236,6618,420783,14468,14172,11168,0,210391,454,497,359,0,240,215,1195,0,345,11190,14400,14400,14400,14400,14400,553
16,1383946,1437906,1755783,1686506,1022378,773996,939169,984458,993721,420783,942722,860402,719532,939654,210391,1113158,1073245,1017984,827471,760906,946924,1009924,1166534,1050735,999229,855371,876588,952172,1027834,1047488,997313
17,916,2861,1582,840,0,0,2181,1153,801,420783,954,19,0,976,210391,928,880,1057,0,0,0,0,119,35,3,0,1260,3873,1496,737,421
18,1455087,1468850,1480590,1457848,1428152,1344800,1403219,1391828,1394636,420783,1402321,1382214,1384113,1411142,210391,1422698,1402161,1386406,1340829,1365328,1413464,1352736,1413793,1446178,1441203,1387864,1436164,1374790,1314980,1344958,1369902
19,64198,50937,56439,72523,54184,47341,75548,67518,65721,420783,68614,54050,45884,74085,210391,58770,66498,74716,60904,61309,58739,74530,83319,66681,59484,53073,57145,44619,43380,49629,17380
20,38492,31612,38685,35441,35548,26430,44023,44020,43901,420783,36249,44667,38298,37432,210391,43044,40315,37384,45337,38634,41017,41450,38812,39876,40932,40777,32305,33339,39376,36379,29514
21,19602778,20249766,20263119,19987511,20518999,20697485,19857832,19178316,20130574,420783,20474108,21438038,21463441,20687445,210391,23643904,24628148,24369482,24841568,24944519,24266113,24509571,24642452,23868566,24176102,24734024,25736385,23547224,23421159,24133903,23644272
22,25214,26264,27329,19924,20248,17130,21135,14447,23453,420783,21340,19467,28518,23360,210391,24020,22025,19044,19413,24993,21283,27421,22326,21508,18542,21098,16432,23228,27786,27412,37927
23,577776,622865,613859,671913,628882,567417,614394,631050,683399,420783,666410,572301,541095,594465,210391,630896,578317,584546,564605,490325,544282,533507,561601,513581,534117,507830,466771,422923,403366,409133,246069
24,1237,850,568,482,240,339,511,465,854,420783,1331,86,28,66,210391,677,717,788,212,265,561,1784,2242,1078,623,77,276,1091,1645,913,861
25,36756753,37906455,37723526,37499720,37837267,37246350,35511104,36522607,36431256,420783,36296661,37043881,36677744,36880249,210391,37037546,37066151,37033879,36723560,36223907,35379922,35816219,34951883,34194596,34222906,34677011,34125970,30933825,31426147,28979805,25370490
26,30779,29658,33921,35912,10835,8441,24331,32157,35752,420783,29303,9638,5792,23137,210391,33833,26654,31263,10005,8392,22364,31102,27810,31133,31353,8430,8821,21362,30178,36544,34393
27,2180,565,182,1003,0,0,737,3,798,420783,782,251,0,40,210391,4,118,493,0,0,0,2397,31,428,0,0,0,4,11,0,2
28,575127,606293,688291,687799,653157,624500,708239,673510,725762,420783,749594,706772,666297,732151,210391,697585,727878,742945,663682,636586,707238,685380,730479,648778,709264,643465,633381,693646,756639,724703,640900
29,8748,9901,7395,12450,9878,9836,9953,12999,12580,420783,8585,10572,8390,10657,210391,11559,6728,11392,9570,3589,6807,9707,8060,9736,10521,5761,3443,9044,9003,7386,6152
30,2492,801,82,0,0,0,85,163,2425,420783,1106,0,0,1043,210391,46,1693,739,0,75,1550,2184,1865,90,2,440,0,1097,4422,2567,6236
31,2302,1803,1763,1609,1745,1705,1198,1225,1875,420783,1640,2047,1507,2348,210391,1628,2116,2059,1740,1729,2215,1696,2373,1402,2359,2819,1435,2772,2494,2109,2578
32,12074864,12216495,12399924,11684893,11971982,11868738,12098237,12076238,11820361,420783,5573902,4032185,3523026,3162055,210391,2546973,2185264,1241331,839609,597534,488526,417473,388154,352097,358053,308439,283468,278482,262259,245826,214555
33,91045,99012,100213,95272,100060,89112,110206,129224,136059,420783,95870,92698,81170,89174,210391,95336,96633,92489,92215,79311,87219,102786,104979,89283,85980,82143,70492,73550,72050,69650,69249
34,863,0,0,4,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,1019,3,0,0,0,0,0
35,58566,63005,57167,56897,52369,53408,64461,66429,58458,420783,66025,47892,52199,72305,210391,83991,78980,71447,65204,64113,79653,75312,80078,85171,80259,58198,65714,77779,74229,77228,67045
36,389829,356049,361238,322613,362883,365511,361304,391859,361949,420783,357694,376386,356616,371429,210391,349186,365955,360402,373971,351873,364777,366372,353183,322985,324741,344628,336177,281079,307001,305705,330929
37,13146,16851,17115,13989,2225,2493,14473,16738,11583,420783,4231,2874,1348,2633,210391,3311,21661,20037,3226,2541,13834,22422,19548,16596,13419,3112,1733,15542,23410,19766,20525
38,52572,60113,62717,53356,48611,73741,52047,58342,68295,420783,64583,50258,52649,73166,210391,69877,71363,58946,68399,56936,116292,68959,74793,78006,74574,94385,88676,81583,54958,74004,85451
39,38760,41587,38977,37862,42657,44202,37158,42550,39149,420783,39924,47387,43313,44075,210391,43112,41099,42549,46376,41824,44266,40061,39819,39314,43870,45519,40228,46166,42439,43201,41637
40,10380,9945,5460,8124,13602,21433,10505,14271,14536,420783,13923,12354,14248,14713,210391,10656,10187,11831,11815,9459,8910,11458,10159,8591,15468,12544,7390,12802,10913,14646,5810
41,2338441,2412366,2301334,2360943,2236128,2116569,2032057,2038668,2101985,420783,2217400,2104777,2952989,4900394,210391,4761460,4686412,4534501,4299777,4427207,4164382,4192222,3957324,3914680,3861121,3525731,3271972,2796410,2575569,2297290,1960688
